season,episode,voted_out,voted_out_id,vote
33,13,David,US0495,17
34,1,Ciera,US0406,1
34,1,Tony,US0424,2
34,2,Caleb,US0464,3
34,3,Malcolm,US0384,4
34,4,J.T.,US0281,5
34,5,Sandra,US0112,6
34,6,Jeff,US0023,7
34,7,Hali,US0450,8
34,7,Ozzy,US0201,9
34,8,Debbie,US0470,10
34,9,Zeke,US0490,11
34,10,Sierra,US0456,12
34,11,Andrea,US0333,13
34,11,Michaela,US0485,14
34,12,Cirie,US0179,15
34,12,Aubry,US0477,16
34,12,Tai,US0476,17
35,1,Katrina,US0499,1
35,2,Simone,US0500,2
35,3,Patrick,US0501,3
35,4,Alan,US0502,4
35,5,Roark,US0503,5
35,6,Ali,US0504,6
35,7,Jessica,US0505,7
35,8,Desi,US0506,8
35,9,Cole,US0507,9
35,10,JP,US0508,10
35,10,Joe,US0509,11
35,11,Lauren,US0510,12
35,12,Ashley,US0511,13
35,13,Mike,US0512,14
35,13,Devon,US0513,15
36,1,Gonzalez,US0517,1
36,1,Jacob,US0518,2
36,2,Morgan,US0519,3
36,3,Brendan,US0520,4
36,4,Stephanie,US0521,5
36,5,James,US0522,6
36,6,Bradley,US0523,7
36,7,Chris,US0524,8
36,8,Libby,US0525,9
36,9,Desiree,US0526,10
36,10,Jenna,US0527,11
36,10,Michael,US0528,12
36,11,Chelsea,US0529,13
36,12,Kellyn,US0530,14
36,13,Sebastian,US0531,15
36,13,Donathan,US0532,16
36,13,Angela,US0533,17
37,2,Jessica,US0538,1
37,3,Jeremy,US0539,2
37,4,Natalia,US0541,3
37,5,Natalie,US0542,4
37,6,Lyrsa,US0543,5
37,7,Elizabeth,US0544,6
37,8,John,US0545,7
37,9,Dan,US0546,8
37,10,Alec,US0547,9
37,10,Carl,US0548,10
37,11,Gabby,US0549,11
37,12,Christian,US0550,12
37,13,Davie,US0551,13
37,13,Alison,US0552,14
37,13,Kara,US0553,15
38,1,Reem,US0557,1
38,2,Keith,US0558,2
38,3,Chris,US0559,3
38,4,Rick,US0560,4
38,5,Aubry,US0477,5
38,5,Wendy,US0561,6
38,6,Joe,US0451,7
38,7,Eric,US0562,8
38,8,Julia,US0563,9
38,9,David,US0495,10
38,9,Kelley,US0429,11
38,10,Wardog,US0564,12
38,11,Ron,US0565,13
38,12,Aurora,US0566,14
38,13,Victoria,US0567,15
38,13,Lauren,US0568,16
38,13,Rick,US0560,17
39,1,Ronnie,US0571,1
39,2,Molly,US0572,2
39,3,Vince,US0573,3
39,4,Chelsea,US0574,4
39,5,Tom,US0575,5
39,6,Jason,US0576,6
39,7,Jack,US0577,7
39,8,Kellee,US0578,8
39,8,Jamal,US0579,9
39,9,Aaron,US0580,10
39,9,Missy,US0581,11
39,10,Elizabeth,US0582,12
39,11,Karishma,US0583,13
39,12,Elaine,US0584,14
39,13,Janet,US0586,15
