season,vote,episode,castaway,castaway_id,acknowledge,ack_gesture,ack_speak,ack_look,ack_smile,ack_speak_notes,ack_score,notes
24,2,3,Matt,US0356,False,False,False,False,False,,0,
24,3,4,Bill,US0357,False,False,False,False,False,,0,
24,4,5,Monica,US0358,False,False,False,False,False,,0,
24,5,7,Jonas,US0360,True,True,True,True,True,"""Hey, good luck with that food situation.""",4,
24,6,8,Michael,US0361,False,False,False,False,False,,0,
24,7,9,Jay,US0362,False,False,False,False,False,,0,
24,8,10,Leif,US0363,True,False,True,True,False,"""Bye, guys.""",2,
24,9,11,Troyzan,US0364,True,False,False,True,True,,2,
24,10,12,Kat,US0365,False,False,False,False,False,,0,
24,11,13,Tarzan,US0366,True,True,True,True,False,"""I want to thank you ladies and you gentlemen for the adventure and for allowing me to see my wife. Adios.""",3,
24,12,14,Alicia,US0367,False,False,False,False,False,,0,
24,13,14,Christina,US0368,False,False,False,False,False,,0,
25,1,1,Zane,US0372,False,False,False,False,False,,0,
25,2,2,Roxy,US0373,False,False,False,False,False,,0,
25,3,3,Angie,US0374,True,True,True,True,True,"""Good luck, guys. Kick some ass.""",4,
25,4,4,Russell,US0288,False,False,False,False,False,,0,
25,5,5,Dawson,US0376,True,True,False,True,False,,2,Crazy Jeff stare and hug.
25,6,6,Katie,US0377,False,False,False,False,False,,0,
25,7,7,RC,US0378,True,True,False,True,False,,2,
25,8,8,Jeff,US0379,False,False,False,False,False,,0,
25,9,9,Artis,US0380,False,False,False,False,False,,0,
25,10,10,Pete,US0381,True,True,False,True,False,,2,
25,11,11,Jonathan,US0196,True,True,True,True,False,"""Guys... Keep your sunny side up.""",3,
25,12,12,Carter,US0382,False,False,False,False,False,,0,
25,13,13,Abi-Maria,US0383,False,False,False,False,False,,0,
25,14,14,Malcolm,US0384,False,False,False,False,False,,0,
26,1,1,Francesca,US0322,False,False,False,False,False,,0,
26,2,2,Allie,US0387,True,False,True,True,False,"""Good luck, you guys.""",2,
26,3,3,Hope,US0388,False,False,False,False,False,,0,
26,4,4,Laura,US0390,True,False,True,True,False,"""Good luck, guys.""",2,
26,5,5,Brandon,US0350,True,False,True,True,False,"""Kick their asses... Phillip, you're a bitch""",2,
26,6,6,Matt,US0391,True,True,True,True,True,"""Seeya, guys.""",4,
26,7,7,Julia,US0392,True,True,True,True,True,"""It's been fun. Good luck."" ",4,
26,8,8,Corinne,US0259,False,False,False,False,False,,0,
26,9,9,Michael,US0393,True,True,True,True,False,"""You turkeys.""",3,Middle finger
26,10,10,Phillip,US0337,False,False,False,False,False,,0,
26,11,11,Malcolm,US0384,True,True,True,True,True,"""Best of luck, guys.""",4,"Mumbles ""I need a drink."" (not to tribe)"
26,12,12,Reynold,US0394,True,False,True,True,True,"""Been a blast you guys, I can't wait to see wat happens.""",3,
26,13,12,Andrea,US0333,False,False,False,False,False,,0,
26,14,13,Brenda,US0312,True,True,True,True,True,"""It hurts.""",4,Puts hands on heart
26,15,14,Eddie,US0395,True,True,True,True,True,"""What a game, guys.""",4,Waves
27,1,1,Laura B.,US0397,False,False,False,False,False,,0,Non tribal vote off
27,2,1,Candice,US0195,False,False,False,False,False,,0,Non tribal vote off
27,3,1,Marissa,US0398,True,True,False,True,False,,2,Death stare
27,4,2,Rachel,US0399,True,True,True,True,False,"""Peace guys.""",3,
27,5,3,John,US0400,False,False,False,False,False,,0,
27,6,4,Brad,US0401,False,False,False,False,False,,0,
27,7,5,Laura M.,US0292,False,False,False,False,False,,0,
27,8,6,Kat,US0365,False,False,False,False,False,,0,
27,9,7,Laura B.,US0397,True,True,True,True,False,"""Bye, guys.""",3,
27,10,8,Aras,US0182,True,True,True,True,True,"""See you guys. Have fun.""",4,
27,11,9,Vytas,US0402,False,False,False,False,False,,0,
27,12,9,Tina,US0032,True,True,True,True,False,"""See y'all tomorrow.""",3,
27,13,10,Laura M.,US0292,True,True,True,True,True,"""Love you.""",4,"Speaking to her daughter, Ciera"
27,14,11,Caleb,US0403,False,False,False,False,False,,0,
27,15,12,Katie,US0404,True,True,True,True,False,"""Good luck""",3,
27,16,13,Hayden,US0405,True,True,True,True,True,"""See y'all later.""",4,
27,17,14,Ciera,US0406,True,True,True,True,False,"""Bye guys.""",3,
27,18,14,Tina,US0032,False,False,False,False,False,,0,
28,1,1,David,US0407,False,False,False,False,False,,0,
28,2,1,Garrett,US0408,False,False,False,False,False,,0,
28,3,2,Brice,US0409,False,False,False,False,False,,0,
28,4,3,J'Tia,US0410,False,False,False,False,False,,0,
28,5,4,Cliff,US0411,True,True,True,True,True,"""Good luck, guys.""",4,
28,6,5,Alexis,US0413,False,False,False,False,False,,0,
28,7,6,Sarah,US0414,True,True,True,True,True,"""Good luck, guys.""",4,
28,8,7,Morgan,US0415,True,True,True,True,True,"""Good luck, you guys.""",4,
28,9,8,LJ,US0416,True,False,True,False,False,"""Good luck, guys.""",1,
28,10,9,Jeremiah,US0417,True,True,True,True,True,Inaudible,4,
28,11,10,Jefra,US0418,True,True,True,True,True,"""Good luck, guys. It's been fun.""",4,
28,12,11,Tasha,US0419,False,False,False,False,False,,0,
