season,season_name,episode,gender,castaway_id,castaway,full_name,acknowledge,ack_score,ack_quote_clean
20,Survivor: Heroes vs. Villains,9,Female,US0236,Courtney,Courtney Yates,True,4,"Good luck, bitches. See you later."
20,Survivor: Heroes vs. Villains,10,Male,US0281,J.T.,James Thomas Jr.,True,4,"Good luck, guys."
20,Survivor: Heroes vs. Villains,12,Female,US0195,Candice,Candice Cody,True,4,"Good luck, you guys."
20,Survivor: Heroes vs. Villains,12,Female,US0181,Danielle,Danielle DiLorenzo,True,3,Bye.
20,Survivor: Heroes vs. Villains,14,Female,US0025,Jerri,Jerri Manthey,True,4,Bye you guys.
21,Survivor: Nicaragua,3,Male,US0304,Jimmy J.,Jimmy Johnson,True,3,"Win a million bucks, ok?"
21,Survivor: Nicaragua,5,Male,US0306,Tyrone,Tyrone Davis,True,4,"Good luck, guys."
21,Survivor: Nicaragua,8,Female,US0310,Alina,Alina Wilson,True,3,"Good luck, guys."
21,Survivor: Nicaragua,9,Male,US0311,Marty,Marty Piombo,True,3,"Good luck, guys."
21,Survivor: Nicaragua,13,Male,US0315,Benry,Ben Henry,True,3,"Good luck, guys."
21,Survivor: Nicaragua,14,Female,US0316,Jane,Jane Bright,True,1,Yall have fun.
22,Survivor: Redemption Island,1,Female,US0322,Francesca,Francesca Hogi,True,1,Don't trust phillip.
22,Survivor: Redemption Island,2,Male,US0323,Matt,Matt Elrod,True,2,Have fun.
22,Survivor: Redemption Island,7,Female,US0327,Sarita,Sarita White,True,4,"Bye, guys."
22,Survivor: Redemption Island,13,Male,US0334,Grant,Grant Mattos,True,1,See you guys shortly.
23,Survivor: South Pacific,3,Male,US0340,Papa Bear,Mark Caruso,True,3,"Goodbye, everybody."
23,Survivor: South Pacific,7,Male,US0201,Ozzy,Oscar Lusth,True,3,Bye. Be right back.
23,Survivor: South Pacific,9,Male,US0201,Ozzy,Oscar Lusth,True,3,You better believe it.
23,Survivor: South Pacific,15,Male,US0201,Ozzy,Oscar Lusth,True,2,It was great. Thanks a lot for the chance.
24,Survivor: One World,7,Male,US0360,Jonas,Jonas Otsuji,True,4,"Hey, good luck with that food situation."
24,Survivor: One World,10,Male,US0363,Leif,Leif Manson,True,2,"Bye, guys."
24,Survivor: One World,13,Male,US0366,Tarzan,Greg Smith,True,3,I want to thank you ladies and you gentlemen for the adventure and for allowing me to see my wife. Adios.
25,Survivor: Philippines,3,Female,US0374,Angie,Angie Layton,True,4,"Good luck, guys. Kick some ass."
25,Survivor: Philippines,11,Male,US0196,Jonathan,Jonathan Penner,True,3,Guys... Keep your sunny side up.
26,Survivor: Caramoan,2,Female,US0387,Allie,Alexandra Pohevitz,True,2,"Good luck, you guys."
26,Survivor: Caramoan,4,Female,US0390,Laura,Laura Alexander,True,2,"Good luck, guys."
26,Survivor: Caramoan,5,Male,US0350,Brandon,Brandon Hantz,True,2,"Kick their asses... Phillip, you're a bitch."
26,Survivor: Caramoan,6,Male,US0391,Matt,Matt Bischoff,True,4,"Seeya, guys."
26,Survivor: Caramoan,7,Female,US0392,Julia,Julia Landauer,True,4,It's been fun. Good luck.
26,Survivor: Caramoan,9,Male,US0393,Michael,Michael Snow,True,3,You turkeys.
26,Survivor: Caramoan,11,Male,US0384,Malcolm,Malcolm Freberg,True,4,"Best of luck, guys."
26,Survivor: Caramoan,12,Male,US0394,Reynold,Reynold Toepfer,True,3,"Been a blast you guys, i can't wait to see wat happens."
26,Survivor: Caramoan,13,Female,US0312,Brenda,Brenda Lowe,True,4,It hurts.
26,Survivor: Caramoan,14,Male,US0395,Eddie,Edward Fox,True,4,"What a game, guys."
27,Survivor: Blood vs. Water,2,Female,US0399,Rachel,Rachel Foulger,True,3,Peace guys.
27,Survivor: Blood vs. Water,7,Female,US0397,Laura B.,Laura Boneham,True,3,"Bye, guys."
27,Survivor: Blood vs. Water,8,Male,US0182,Aras,Aras Baskauskas,True,4,See you guys. Have fun.
27,Survivor: Blood vs. Water,9,Female,US0032,Tina,Tina Wesson,True,3,See y'all tomorrow.
27,Survivor: Blood vs. Water,10,Female,US0292,Laura M.,Laura Morett,True,4,Love you.
